fpr,tpr,threshold,tag,artifact_source
0.128205,0.485981,0.625,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.128205,0.495327,0.622,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.128205,0.523364,0.621,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.153846,0.551402,0.615,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.153846,0.598131,0.609,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.179487,0.626168,0.6,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.179487,0.635514,0.583,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.179487,0.64486,0.579,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.205128,0.64486,0.577,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.25641,0.663551,0.571,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.307692,0.691589,0.562,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.307692,0.700935,0.558,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.358974,0.700935,0.556,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.384615,0.700935,0.552,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.410256,0.700935,0.55,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
0.435897,0.71028,0.545,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
