class,n,min,q1,median,q3,max,mean,sd,n_below_0.38,pct_below_0.38,tag,artifact_source
in_corpus,107,0.263,0.53,0.621,0.683,0.833,0.6047,0.1194,6,5.6,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
out_of_corpus,39,0.27,0.423,0.526,0.567,0.818,0.5067,0.1197,4,10.3,MEASURED-devbox,"06_analysis/data/decisions_146_k8.jsonl split by 06_analysis/scripts/subsystem_match.is_in_corpus; deterministic, no model calls; recomputed 2026-09-09"
